address,latitude,longitude
"Apartado 10, A dos Cunhados
2564-908 A DOS CUNHADOS
A dos Cunhados, Torres Vedras, Lisboa",GPS: 39.101749,"-9.347861
EC A DOS CUNHADOS"
,,
"Apartado 10, Torres Vedras
2564-909 TORRES VEDRAS
São Pedro e São Tiago, Torres Vedras, Lisboa",GPS: 39.090025,"-9.260562
EC TORRES VEDRAS"
,,
"Apartado 10, Silveira
2564-906 SILVEIRA
Silveira, Torres Vedras, Lisboa",GPS: 39.000000,"-8.300000
PC SANTA CRUZ (TORRES VEDRAS)"
"Apartado 10, Runa
2566-909 RUNA
Santa Maria e São Miguel, Torres Vedras, Lisboa",GPS: 39.000000,"-8.300000
EC RUNA"
"Apartado 10, A dos Cunhados
2564-908 A DOS CUNHADOS
A dos Cunhados, Torres Vedras, Lisboa",GPS: 39.101749,"-9.347861
LOJA CTT A DOS CUNHADOS"
"Apartado 10, Torres Vedras
2564-909 TORRES VEDRAS
São Pedro e São Tiago, Torres Vedras, Lisboa",GPS: 39.090025,"-9.260562
LOJA CTT TORRES VEDRAS"
"Apartado 10, Runa
2566-909 RUNA
Santa Maria e São Miguel, Torres Vedras, Lisboa",GPS: 39.000000,"-8.300000
LOJA CTT RUNA"
"Apartado 10, A dos Cunhados
2564-908 A DOS CUNHADOS
A dos Cunhados, Torres Vedras, Lisboa",GPS: 39.101749,"-9.347861
PC A DOS CUNHADOS"
,,
"Apartado 10, A dos Cunhados
2564-906 A DOS CUNHADOS
Silveira, Torres Vedras, Lisboa",GPS: 39.101749,"-9.347861
PC SANTA CRUZ"
"Apartado 100, Torres Vedras
2564-910 TORRES VEDRAS
São Pedro e São Tiago, Torres Vedras, Lisboa",GPS: 39.090025,"-9.260562
EC TORRES VEDRAS"
"Apartado 100, Torres Vedras
2564-910 TORRES VEDRAS
São Pedro e São Tiago, Torres Vedras, Lisboa",GPS: 39.090025,"-9.260562
LOJA CTT TORRES VEDRAS"
"Apartado 101, Torres Vedras
2564-910 TORRES VEDRAS
São Pedro e São Tiago, Torres Vedras, Lisboa",GPS: 39.090025,"-9.260562
EC TORRES VEDRAS"
"Apartado 101, Torres Vedras
2564-910 TORRES VEDRAS
São Pedro e São Tiago, Torres Vedras, Lisboa",GPS: 39.090025,"-9.260562
LOJA CTT TORRES VEDRAS"
"Apartado 102, Torres Vedras
2564-910 TORRES VEDRAS
São Pedro e São Tiago, Torres Vedras, Lisboa",GPS: 39.090025,"-9.260562
EC TORRES VEDRAS"
"Apartado 102, Torres Vedras
2564-910 TORRES VEDRAS
São Pedro e São Tiago, Torres Vedras, Lisboa",GPS: 39.090025,"-9.260562
LOJA CTT TORRES VEDRAS"
"Apartado 103, Torres Vedras
2564-910 TORRES VEDRAS
São Pedro e São Tiago, Torres Vedras, Lisboa",GPS: 39.090025,"-9.260562
EC TORRES VEDRAS"
,,
"Apartado 103, Torres Vedras
2564-910 TORRES VEDRAS
São Pedro e São Tiago, Torres Vedras, Lisboa",GPS: 39.090025,"-9.260562
LOJA CTT TORRES VEDRAS"
,,
"Estrada Municipal 1030
2560-581 TORRES VEDRAS
Santa Maria e São Miguel, Torres Vedras, Lisboa",GPS: 39.100187,"-9.364441
Serra da Vila"
"Apartado 104, Torres Vedras
2564-910 TORRES VEDRAS
São Pedro e São Tiago, Torres Vedras, Lisboa",GPS: 39.090025,"-9.260562
EC TORRES VEDRAS"
"Apartado 104, Torres Vedras
2564-910 TORRES VEDRAS
São Pedro e São Tiago, Torres Vedras, Lisboa",GPS: 39.090025,"-9.260562
LOJA CTT TORRES VEDRAS"
"Apartado 105, Torres Vedras
2564-910 TORRES VEDRAS
São Pedro e São Tiago, Torres Vedras, Lisboa",GPS: 39.090025,"-9.260562
EC TORRES VEDRAS"
"Apartado 105, Torres Vedras
2564-910 TORRES VEDRAS
São Pedro e São Tiago, Torres Vedras, Lisboa",GPS: 39.090025,"-9.260562
LOJA CTT TORRES VEDRAS"
